fusion_id,qsim_tester,qsim_line,qsim_both,V_flag_analyze,M_flag_analyze,M_num_reps,V_num_reps,M_tester_total_1,M_Line_total_1,M_Both_total_1,M_tester_total_2,M_Line_total_2,M_Both_total_2,V_tester_total_1,V_Line_total_1,V_Both_total_1,V_tester_total_2,V_Line_total_2,V_Both_total_2,line
Exon_1,0.317068646,0.317439703,0.365491651,1,1,2,2,92,137,337,54,88,240,72,150,322,97,165,446,sample1
Exon_2,0.155367232,0.152542373,0.692090395,1,1,2,2,15,30,69,27,52,115,68,223,382,89,357,648,sample1
Exon_3,0.296875,0.317234848,0.385890152,1,1,2,2,30,42,33,20,28,48,13,23,26,14,22,28,sample1
Exon_4,0.307003257,0.307003257,0.385993485,1,1,2,2,49,36,48,33,47,50,46,25,43,29,38,43,sample1
Exon_5,0.195205479,0.195205479,0.609589041,1,1,2,2,3594,4637,14325,5005,6209,19337,40,67,233,85,97,312,sample1
Exon_6,0.5,0.5,0,1,1,2,2,53,61,0,35,52,0,23,51,1,33,54,0,sample1
Exon_7,0.06281407,0.06281407,0.874371859,1,1,2,2,151,127,928,51,50,366,68,53,318,108,78,455,sample1
Exon_8,0.09970385,0.114511352,0.785784798,1,1,2,2,113,72,633,77,44,409,23,22,112,22,21,151,sample1
Exon_9,0.12749004,0.131474104,0.741035857,1,1,2,2,210,123,734,117,84,421,50,43,210,66,37,202,sample1
Exon_10,0.166969147,0.165154265,0.667876588,1,1,2,2,41,180,360,25,135,250,18,51,89,11,52,88,sample1
Exon_11,0.117473118,0.11155914,0.770967742,1,1,2,2,76,144,903,69,79,528,15,47,185,17,53,169,sample1
Exon_12,0.099824869,0.084063047,0.816112084,1,1,2,2,20,19,161,27,21,184,19,10,115,13,18,146,sample1
Exon_13,0.060810811,0.060810811,0.878378378,1,1,2,2,25,40,402,22,65,408,11,24,184,18,38,262,sample1
Exon_14,0.303030303,0.303030303,0.393939394,1,1,2,2,83,94,164,83,74,135,56,27,93,52,51,102,sample1
Exon_15,0.409836066,0.409836066,0.180327869,1,1,2,2,84,61,69,53,46,46,38,26,39,43,35,43,sample1
Exon_16,0.20452937,0.20452937,0.59094126,1,1,2,2,60,108,337,48,69,270,113,234,883,200,280,1069,sample1
Exon_17,0.262244265,0.262244265,0.475511469,1,1,2,2,478,787,1757,538,874,1946,258,417,988,303,520,1248,sample1
Exon_18,0.5,0.5,0,1,1,2,2,111,183,116,93,195,107,40,98,78,76,113,101,sample1
Exon_19,0.238095238,0.238095238,0.523809524,1,1,2,2,115,83,312,115,97,318,65,61,187,75,68,223,sample1
Exon_20,0.183730715,0.18513324,0.631136045,1,1,2,2,43,60,367,51,68,379,24,35,198,35,33,213,sample1
Exon_21,0.340433625,0.385507798,0.274058577,1,1,2,2,40,100,61,46,84,72,21,28,37,28,41,29,sample1
Exon_22,0.288340034,0.241815049,0.469844917,1,1,2,2,40,106,76,164,320,285,9,31,17,38,73,53,sample1
Exon_23,0.31349321,0.289800636,0.396706154,1,1,2,2,65,97,91,164,291,291,13,26,19,29,65,62,sample1
Exon_24,0.449275362,0.445249597,0.10547504,1,1,2,2,53,97,50,198,328,147,8,13,5,23,60,34,sample1
Exon_25,0.306888545,0.239164087,0.453947368,1,1,2,2,105,128,153,334,397,477,17,37,38,47,110,100,sample1
Exon_26,0.276043956,0.283956044,0.44,1,1,2,2,92,117,143,269,388,476,14,35,42,48,94,87,sample1
Exon_27,0.241992883,0.384341637,0.37366548,1,1,2,2,60,76,87,165,257,292,11,22,18,25,54,57,sample1
Exon_28,0.441629956,0.457599119,0.100770925,1,1,2,2,61,121,57,204,389,187,7,12,3,31,59,25,sample1
Exon_29,0.332199546,0.335114998,0.332685455,1,1,2,2,135,218,243,391,538,685,22,46,39,63,111,154,sample1
Exon_30,0.5,0.5,0,1,1,2,2,21,20,14,23,22,5,16,10,8,14,21,19,sample1
Exon_31,0.208487085,0.208487085,0.58302583,1,1,2,2,32,132,334,41,148,342,28,159,347,36,158,363,sample1
Exon_32,0.15,0.15,0.7,1,1,2,2,75,47,233,66,52,256,56,47,270,75,70,319,sample1
Exon_33,0.299760192,0.299760192,0.400479616,1,1,2,2,28,33,162,38,30,160,36,36,191,40,44,253,sample1
